State,Keyword,Match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Keyword bid(USD),Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACoS(%)
ENABLED,compartment lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,food safe fabric,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.39,0.50,1.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated tote small,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.80,2.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,rubbermaid lunch bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.35,0.50,0.64,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,canvas lunch bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.75,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,girls lunchbox,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.32,0.46,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag mier,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.56,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated baby lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.84,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thermal food bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.69,1.08,2.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,crush resistant lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mier kids lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.63,0.64,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch tote black,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.69,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,game boy lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.31,0.40,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes blue,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.80,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch totes insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,picnic bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.39,0.56,0.71,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,arctic zone lunch tote,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.32,0.51,0.72,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box hot,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.52,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,waterproof insulated bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.77,1.04,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated cooler tote bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.68,0.87,3.25,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,wildkin lunch box kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.68,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated snack bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.56,0.56,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,boys nike lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.68,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchbox backpack for adults,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler insulated lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.58,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cool bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.56,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box cold,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.79,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch for kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids lunch bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.50,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box for office,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.53,0.75,0.78,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch bag girl,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,he man lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.42,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler travel bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.65,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch items,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.58,0.90,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ll bean lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.23,0.25,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,e lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.41,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag kate spade,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.41,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,igloo lunch cooler,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.35,0.41,0.51,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids lunchbox,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.46,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch bag kit,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.69,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler bottles leak proof,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.25,0.50,0.58,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,now designs lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.47,0.88,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,waterproof bag cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,1.00,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag black,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.51,0.75,0.81,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,collapsible lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.35,0.47,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,meal prep containers bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.81,1.38,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bad,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,1.21,1.21,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,arctic zone lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,1.50,1.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags reusable,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.62,0.62,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,adult male lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.50,0.75,0.75,0,0,,0.00,0.00,0,0.00,
